stock,total_score,raw_momentum_6m,raw_momentum_3m,raw_momentum_1m,volatility_adjusted,smooth_momentum,consistency_score,trend_strength,momentum_12_2,fip_quality,calculated_date,created_at
TBOTEK.NS,0.7549,0.4123,0.171,0.072,0.1159,0.1013,0.4667,1.0,-0.0086,0.0,2025-09-08,2025-09-07 19:42:04
TVSHLTD.NS,0.7544,0.3593,0.1124,0.0531,0.0826,0.1971,0.4167,1.0,0.0215,0.2,2025-09-08,2025-09-07 19:42:04
SHRIPISTON.NS,0.7518,0.4029,0.0781,0.0514,0.0633,0.1942,0.3833,1.0,0.2542,0.2,2025-09-08,2025-09-07 19:42:05
MARUTI.NS,0.7513,0.2707,0.1848,0.1521,0.2383,0.1495,0.5667,1.0,0.3623,0.4,2025-09-08,2025-09-07 19:42:04
RTNINDIA.NS,0.7502,0.4544,0.0241,0.2169,0.0238,0.2637,0.3833,0.5,-0.03,-0.2,2025-09-08,2025-09-07 19:42:05
STAR.NS,0.7495,0.4463,0.0096,-0.0037,0.0437,0.2598,0.5167,0.5,-0.4141,0.0,2025-09-08,2025-09-07 19:42:05
ASTERDM.NS,0.7481,0.3035,0.0705,0.0535,0.1094,0.2428,0.4833,1.0,0.3444,0.4,2025-09-08,2025-09-07 19:42:04
MUTHOOTFIN.NS,0.7419,0.3968,0.0956,0.0264,0.1108,0.1484,0.4167,1.0,0.4764,0.4,2025-09-08,2025-09-07 19:42:04
POWERINDIA.NS,0.7374,0.5012,-0.029,-0.0747,0.0801,0.2847,0.45,0.0,0.5551,0.2,2025-09-08,2025-09-07 19:42:04
EIDPARRY.NS,0.7357,0.3212,0.0919,-0.0427,0.1049,0.321,0.5167,0.0,0.3059,0.2,2025-09-08,2025-09-07 19:42:05
JKCEMENT.NS,0.7353,0.3131,0.0957,-0.0534,0.1003,0.2986,0.55,0.0,0.5815,0.6,2025-09-08,2025-09-07 19:42:04
MSUMI.NS,0.7333,0.2887,0.1305,0.199,0.1035,0.1771,0.4333,1.0,0.0655,0.2,2025-09-08,2025-09-07 19:42:04
EMCURE.NS,0.733,0.4975,0.031,-0.0529,0.0143,0.2357,0.4833,0.0,0.0019,-0.2,2025-09-08,2025-09-07 19:42:04
CREDITACC.NS,0.7328,0.276,0.131,0.0058,0.1065,0.2401,0.4667,0.5,0.3651,0.4,2025-09-08,2025-09-07 19:42:04
TANLA.NS,0.7248,0.3745,0.017,0.0777,-0.0136,0.2647,0.45,0.5,-0.0472,0.0,2025-09-08,2025-09-07 19:42:05
SWIGGY.NS,0.7246,0.3166,0.0851,0.1038,0.1756,0.1434,0.5667,1.0,-0.1188,-0.2,2025-09-08,2025-09-07 19:42:04
SUPREMEIND.NS,0.7245,0.3594,0.0442,0.0629,0.076,0.181,0.4167,1.0,0.003,-0.4,2025-09-08,2025-09-07 19:42:04
PVRINOX.NS,0.7211,0.2504,0.1846,0.0615,0.1531,0.1112,0.5333,1.0,-0.2262,-0.2,2025-09-08,2025-09-07 19:42:05
THOMASCOOK.NS,0.721,0.2818,0.0831,0.1261,0.0684,0.1868,0.5167,1.0,-0.1271,0.0,2025-09-08,2025-09-07 19:42:05
NAM-INDIA.NS,0.721,0.3946,0.0192,-0.005,0.0986,0.2732,0.5,0.0,0.1634,0.4,2025-09-08,2025-09-07 19:42:04
EDELWEISS.NS,0.7199,0.4292,0.0658,0.2084,0.068,0.1559,0.4833,0.5,0.034,-0.2,2025-09-08,2025-09-07 19:42:05
CHALET.NS,0.7166,0.2329,0.1177,0.0979,0.1522,0.1666,0.5333,1.0,0.1657,0.2,2025-09-08,2025-09-07 19:42:04
NEULANDLAB.NS,0.7129,0.1502,0.2173,0.0957,0.0596,0.1644,0.45,1.0,-0.0938,-0.2,2025-09-08,2025-09-07 19:42:05
OLAELEC.NS,0.7122,0.1977,0.395,0.4575,0.1019,0.0687,0.3333,1.0,-0.3166,0.4,2025-09-08,2025-09-07 19:42:04
