stock,total_score,raw_momentum_6m,raw_momentum_3m,raw_momentum_1m,volatility_adjusted,smooth_momentum,consistency_score,trend_strength,momentum_12_2,fip_quality,calculated_date,created_at
AMBUJACEM.NS,0.5208,0.0198,0.0004,-0.0191,0.0535,0.0857,0.5,0.0,0.105,0.4,2025-09-08,2025-09-07 19:42:04
MOIL.NS,0.5206,0.1157,-0.0883,0.0993,-0.0664,0.0548,0.45,0.5,0.1271,0.0,2025-09-08,2025-09-07 19:42:05
ZFCVINDIA.NS,0.5203,0.0243,0.0087,-0.017,0.0268,0.0854,0.45,0.0,0.0882,-0.2,2025-09-08,2025-09-07 19:42:04
HDFCBANK.NS,0.5196,0.0553,-0.0266,-0.0331,0.0285,0.0813,0.5167,0.0,0.0859,0.4,2025-09-08,2025-09-07 19:42:04
MOTHERSON.NS,0.5193,0.1093,-0.0829,0.0139,-0.0724,0.061,0.3833,0.5,-0.1346,0.0,2025-09-08,2025-09-07 19:42:04
WABAG.NS,0.519,0.0478,0.013,-0.0487,-0.0315,0.0705,0.4667,0.0,-0.107,0.2,2025-09-08,2025-09-07 19:42:05
VGUARD.NS,0.5181,0.0235,-0.0361,0.0307,-0.0137,0.06,0.4833,0.5,-0.1134,-0.2,2025-09-08,2025-09-07 19:42:04
BANKBARODA.NS,0.5178,0.0338,-0.0189,-0.0328,-0.0289,0.1067,0.4333,0.0,-0.0144,0.2,2025-09-08,2025-09-07 19:42:04
TATAINVEST.NS,0.5176,0.0895,-0.0044,-0.0172,-0.0223,0.0494,0.4667,0.0,0.0148,0.2,2025-09-08,2025-09-07 19:42:04
360ONE.NS,0.517,0.1136,-0.108,0.0005,-0.0231,0.1176,0.4333,0.0,-0.0765,0.0,2025-09-08,2025-09-07 19:42:04
LUPIN.NS,0.5168,-0.0282,0.0141,-0.009,-0.0321,-0.0029,0.4833,1.0,-0.0251,0.0,2025-09-08,2025-09-07 19:42:04
AFCONS.NS,0.5164,-0.0028,0.007,0.0426,-0.0052,-0.0191,0.4667,1.0,-0.1085,-0.2,2025-09-08,2025-09-07 19:42:04
IOB.NS,0.5162,0.0886,0.0198,0.0664,0.0077,-0.0362,0.45,0.5,-0.2731,0.4,2025-09-08,2025-09-07 19:42:04
BATAINDIA.NS,0.5162,0.018,0.0236,0.1837,0.0365,0.0084,0.4333,0.5,-0.0864,0.6,2025-09-08,2025-09-07 19:42:04
ALOKINDS.NS,0.5159,0.1346,-0.106,0.0202,-0.0774,0.0541,0.3833,0.5,-0.1463,0.2,2025-09-08,2025-09-07 19:42:05
GALAXYSURF.NS,0.5158,0.0804,-0.0975,0.0336,-0.0127,0.0642,0.4667,0.5,-0.1639,0.0,2025-09-08,2025-09-07 19:42:05
RAINBOW.NS,0.5153,-0.0358,0.0001,-0.0298,0.0409,0.1111,0.5333,0.0,-0.0502,0.2,2025-09-08,2025-09-07 19:42:05
INDHOTEL.NS,0.5152,-0.0694,-0.0059,0.0022,0.0643,0.0197,0.5,1.0,-0.0134,0.0,2025-09-08,2025-09-07 19:42:04
NTPCGREEN.NS,0.515,0.0524,-0.0248,0.0327,-0.0413,0.0315,0.45,0.5,-0.1443,0.2,2025-09-08,2025-09-07 19:42:04
LT.NS,0.5147,0.1011,-0.0289,-0.0335,-0.0163,0.0585,0.4167,0.0,-0.0302,0.4,2025-09-08,2025-09-07 19:42:04
MAXHEALTH.NS,0.5127,0.0868,-0.0783,-0.0448,-0.0197,0.0942,0.5,0.0,0.1602,0.2,2025-09-08,2025-09-07 19:42:04
HINDPETRO.NS,0.5122,0.0395,-0.0624,-0.0262,0.0117,0.1087,0.5,0.0,0.0366,0.2,2025-09-08,2025-09-07 19:42:04
HAL.NS,0.5122,0.0532,-0.0804,-0.0275,-0.1407,0.1485,0.4333,0.0,-0.0028,0.2,2025-09-08,2025-09-07 19:42:04
J&KBANK.NS,0.512,0.1089,-0.0459,-0.0071,-0.0261,0.0559,0.4667,0.0,0.0599,0.0,2025-09-08,2025-09-07 19:42:05
PGHH.NS,0.5114,-0.0441,0.0045,0.0161,0.0146,0.0008,0.4333,1.0,-0.1464,0.2,2025-09-08,2025-09-07 19:42:04
GNFC.NS,0.5108,0.0646,-0.0492,0.0426,-0.0281,0.0319,0.4333,0.5,-0.1277,0.2,2025-09-08,2025-09-07 19:42:05
IKS.NS,0.5106,0.1171,-0.0048,0.0153,-0.0594,-0.0423,0.4833,0.5,0.0,0.0,2025-09-08,2025-09-07 19:42:04
AKZOINDIA.NS,0.5103,-0.0203,0.0696,-0.0105,0.0551,0.0318,0.5167,0.0,-0.086,0.2,2025-09-08,2025-09-07 19:42:05
TRIDENT.NS,0.51,0.0838,-0.1035,0.0125,-0.106,0.0775,0.4,0.5,-0.1193,0.4,2025-09-08,2025-09-07 19:42:04
TATATECH.NS,0.5094,0.0846,-0.0357,0.0122,-0.19,0.0305,0.45,0.5,-0.2729,0.4,2025-09-08,2025-09-07 19:42:04
DEEPAKFERT.NS,0.509,0.1181,-0.1141,-0.0244,-0.0688,0.1083,0.4333,0.0,0.0552,0.0,2025-09-08,2025-09-07 19:42:05
VESUVIUS.NS,0.5075,0.1313,-0.0871,0.0103,-0.0794,0.0854,0.35,0.0,-0.0405,0.2,2025-09-08,2025-09-07 19:42:05
GUJGASLTD.NS,0.5064,0.017,-0.0466,0.0414,-0.0793,0.0668,0.4,0.5,-0.0687,-0.2,2025-09-08,2025-09-07 19:42:04
PRSMJOHNSN.NS,0.506,0.087,-0.0435,0.0203,-0.0745,0.072,0.4,0.0,-0.2245,0.4,2025-09-08,2025-09-07 19:42:05
AJANTPHARM.NS,0.506,-0.0008,0.0205,-0.0242,-0.0312,0.0142,0.4167,0.5,-0.1341,0.0,2025-09-08,2025-09-07 19:42:04
TATAPOWER.NS,0.5056,0.0252,-0.0491,0.0012,-0.0487,0.0453,0.4833,0.5,-0.0709,0.0,2025-09-08,2025-09-07 19:42:04
HSCL.NS,0.5055,0.018,0.0179,-0.0207,-0.0175,0.061,0.4,0.0,-0.1395,-0.2,2025-09-08,2025-09-07 19:42:04
PREMIERENE.NS,0.5051,0.078,-0.0405,0.0153,-0.0102,0.0584,0.4333,0.0,-0.098,0.0,2025-09-08,2025-09-07 19:42:04
ICICIBANK.NS,0.5048,0.0466,-0.0181,-0.0175,-0.0152,0.0691,0.3833,0.0,0.0864,0.1,2025-09-08,2025-09-07 19:42:04
LINDEINDIA.NS,0.5047,0.0499,-0.0273,0.0318,-0.1182,0.0244,0.45,0.5,-0.0895,0.0,2025-09-08,2025-09-07 19:42:04
KANSAINER.NS,0.5046,-0.0365,-0.0008,0.0359,-0.0128,0.0403,0.5,0.5,-0.105,0.2,2025-09-08,2025-09-07 19:42:04
CAMS.NS,0.5043,0.0086,-0.0823,-0.0082,-0.038,0.0829,0.45,0.5,-0.1991,-0.2,2025-09-08,2025-09-07 19:42:04
NBCC.NS,0.5042,0.149,-0.1676,-0.005,-0.1496,0.1418,0.35,0.0,0.0851,0.0,2025-09-08,2025-09-07 19:42:04
KPITTECH.NS,0.5035,0.0784,-0.0265,0.019,-0.0877,0.0029,0.3833,0.5,-0.1196,0.2,2025-09-08,2025-09-07 19:42:04
RHIM.NS,0.5032,-0.0226,0.0002,-0.0203,-0.0059,0.0909,0.45,0.0,-0.0968,0.0,2025-09-08,2025-09-07 19:42:05
IDEA.NS,0.5027,-0.0096,0.0014,0.1789,0.051,0.011,0.4333,0.5,-0.1307,0.2,2025-09-08,2025-09-07 19:42:04
ADANIPORTS.NS,0.5027,0.0964,-0.0757,0.016,-0.1039,0.0883,0.4,0.0,0.1063,0.2,2025-09-08,2025-09-07 19:42:04
SAGILITY.NS,0.5026,0.028,0.0314,-0.0304,0.0704,0.0164,0.4333,0.0,0.2476,-0.2,2025-09-08,2025-09-07 19:42:04
COLPAL.NS,0.5022,-0.025,0.0205,0.1256,0.0158,0.004,0.5,0.5,-0.1878,0.2,2025-09-08,2025-09-07 19:42:04
HINDZINC.NS,0.5015,0.0366,-0.0176,0.0336,-0.1358,0.0259,0.4167,0.5,-0.1004,0.0,2025-09-08,2025-09-07 19:42:04
TATACONSUM.NS,0.5012,-0.0185,-0.0615,0.0226,-0.0079,0.0727,0.45,0.5,0.128,-0.2,2025-09-08,2025-09-07 19:42:04
NATCOPHARM.NS,0.5011,0.0631,-0.0189,-0.0226,-0.0535,0.0459,0.4667,0.0,-0.3664,-0.2,2025-09-08,2025-09-07 19:42:04
NAZARA.NS,0.5009,0.1477,-0.1632,-0.2192,-0.07,0.1009,0.4833,0.0,0.1148,0.2,2025-09-08,2025-09-07 19:42:05
RPOWER.NS,0.5007,0.1232,-0.2979,0.0799,-0.1873,0.195,0.4167,0.5,0.2267,0.0,2025-09-08,2025-09-07 19:42:05
KFINTECH.NS,0.5005,0.0879,-0.1721,-0.0294,-0.059,0.0941,0.4333,0.5,-0.0437,0.0,2025-09-08,2025-09-07 19:42:04
MASTEK.NS,0.5004,0.0484,-0.0024,-0.0224,0.0244,0.0256,0.4833,0.0,-0.2464,0.2,2025-09-08,2025-09-07 19:42:05
DLF.NS,0.4994,0.1504,-0.0999,0.0072,-0.1357,0.0666,0.4,0.0,-0.0743,0.0,2025-09-08,2025-09-07 19:42:04
HUDCO.NS,0.4992,-0.0122,-0.0996,0.0301,-0.0574,0.1008,0.4667,0.5,-0.0027,0.2,2025-09-08,2025-09-07 19:42:04
BAJAJHLDNG.NS,0.4983,0.0959,-0.0656,-0.085,-0.0839,0.0644,0.4167,0.0,0.2679,0.2,2025-09-08,2025-09-07 19:42:04
CRISIL.NS,0.4973,0.1526,-0.1567,-0.0623,-0.0857,0.0824,0.5167,0.0,-0.0431,0.0,2025-09-08,2025-09-07 19:42:04
THERMAX.NS,0.4973,0.0255,-0.0388,0.0125,-0.0473,0.0107,0.5333,0.5,-0.2782,0.0,2025-09-08,2025-09-07 19:42:04
RELIANCE.NS,0.4963,0.1138,-0.0763,0.0014,-0.0569,0.0486,0.4333,0.0,0.068,0.2,2025-09-08,2025-09-07 19:42:04
BBTC.NS,0.4954,-0.001,-0.0389,0.0118,-0.0733,0.044,0.4167,0.5,-0.2512,0.2,2025-09-08,2025-09-07 19:42:05
JSWINFRA.NS,0.4946,0.0181,-0.0334,0.003,-0.0332,0.0687,0.4833,0.0,-0.019,0.2,2025-09-08,2025-09-07 19:42:04
TIMKEN.NS,0.4945,0.1398,-0.1296,0.0128,-0.1038,0.0684,0.5,0.0,-0.1303,0.4,2025-09-08,2025-09-07 19:42:04
ZEEL.NS,0.4941,0.0981,-0.1755,0.0197,-0.0608,0.0686,0.4833,0.5,-0.0302,-0.2,2025-09-08,2025-09-07 19:42:05
OFSS.NS,0.4924,0.0951,-0.0884,-0.0366,-0.1602,0.0808,0.4333,0.0,-0.2807,0.0,2025-09-08,2025-09-07 19:42:04
PATANJALI.NS,0.4914,-0.0746,0.0827,0.0137,0.079,0.0148,0.4833,0.0,0.0209,0.0,2025-09-08,2025-09-07 19:42:04
BANDHANBNK.NS,0.4904,0.0699,-0.1092,-0.0002,-0.0659,0.0878,0.4833,0.0,-0.0378,0.0,2025-09-08,2025-09-07 19:42:04
SANDUMA.NS,0.489,0.0375,-0.0435,0.0018,-0.0207,-0.0109,0.4667,0.5,-0.0815,0.2,2025-09-08,2025-09-07 19:42:05
BECTORFOOD.NS,0.4887,-0.1049,0.0453,0.0176,0.0276,-0.0048,0.6,0.5,-0.2027,0.2,2025-09-08,2025-09-07 19:42:05
AWL.NS,0.488,-0.0617,0.0208,0.0522,-0.011,0.0211,0.3333,0.5,-0.1646,0.0,2025-09-08,2025-09-07 19:42:04
WOCKPHARMA.NS,0.4878,0.0568,-0.1049,-0.0282,-0.1334,0.0558,0.35,0.5,0.1023,0.2,2025-09-08,2025-09-07 19:42:05
HAPPYFORGE.NS,0.4875,0.1115,-0.0909,-0.0729,-0.0928,0.0592,0.3333,0.0,-0.1979,0.6,2025-09-08,2025-09-07 19:42:05
POWERGRID.NS,0.4862,-0.0585,-0.0231,-0.0068,-0.0084,0.0349,0.45,0.5,-0.1449,0.2,2025-09-08,2025-09-07 19:42:04
UJJIVANSFB.NS,0.4844,0.0722,-0.132,0.0228,-0.126,0.1007,0.4833,0.0,0.2707,0.0,2025-09-08,2025-09-07 19:42:05
FSL.NS,0.4834,0.06,-0.0871,-0.0258,-0.0677,0.0668,0.4333,0.0,-0.0224,-0.2,2025-09-08,2025-09-07 19:42:04
KALYANKJIL.NS,0.4833,-0.0199,-0.0893,-0.0554,-0.0113,0.0957,0.6,0.0,-0.2777,0.0,2025-09-08,2025-09-07 19:42:04
TECHM.NS,0.4833,0.1562,-0.1096,-0.0059,-0.1098,0.0228,0.4333,0.0,-0.1433,0.2,2025-09-08,2025-09-07 19:42:04
SAPPHIRE.NS,0.483,0.044,-0.0201,0.0493,0.0111,0.0095,0.4333,0.0,-0.0094,-0.2,2025-09-08,2025-09-07 19:42:05
PHOENIXLTD.NS,0.4829,-0.0176,-0.0654,0.0636,-0.0388,-0.023,0.45,1.0,-0.0974,-0.2,2025-09-08,2025-09-07 19:42:04
COCHINSHIP.NS,0.4828,0.1472,-0.2086,-0.0213,-0.2203,0.1332,0.3833,0.0,0.1033,0.0,2025-09-08,2025-09-07 19:42:04
VOLTAMP.NS,0.4819,0.0892,-0.1271,-0.0044,-0.059,0.0766,0.4,0.0,-0.2273,0.0,2025-09-08,2025-09-07 19:42:05
UNIONBANK.NS,0.4819,0.0762,-0.1107,-0.0551,-0.1273,0.0811,0.4333,0.0,0.072,-0.2,2025-09-08,2025-09-07 19:42:04
MINDACORP.NS,0.4817,-0.0051,-0.0122,0.0195,-0.0853,-0.0092,0.45,0.5,0.023,0.0,2025-09-08,2025-09-07 19:42:05
JBMA.NS,0.4816,-0.0165,-0.0426,0.0141,-0.1329,0.0936,0.4333,0.0,-0.1999,0.0,2025-09-08,2025-09-07 19:42:04
ELGIEQUIP.NS,0.4812,0.0657,-0.0918,-0.0293,-0.0716,0.0599,0.45,0.0,-0.2452,0.0,2025-09-08,2025-09-07 19:42:04
ABBOTINDIA.NS,0.4809,0.0228,-0.0424,-0.0615,0.0111,0.0317,0.4833,0.0,0.1512,0.0,2025-09-08,2025-09-07 19:42:05
ATUL.NS,0.4802,0.118,-0.1412,-0.0124,-0.1149,0.0712,0.4167,0.0,-0.1454,0.2,2025-09-08,2025-09-07 19:42:04
HATSUN.NS,0.4793,-0.0351,-0.035,0.0309,-0.0911,0.0259,0.45,0.5,-0.1637,0.4,2025-09-08,2025-09-07 19:42:04
ICICIPRULI.NS,0.4774,0.0531,-0.0786,-0.0481,-0.0692,0.0488,0.45,0.0,-0.1227,0.4,2025-09-08,2025-09-07 19:42:04
BASF.NS,0.4769,0.0231,-0.0734,0.0232,-0.0822,0.0014,0.5,0.5,-0.2023,0.4,2025-09-08,2025-09-07 19:42:04
CARBORUNIV.NS,0.4768,-0.0433,-0.015,0.1108,0.0226,-0.0065,0.4167,0.5,-0.3349,0.4,2025-09-08,2025-09-07 19:42:04
VINATIORGA.NS,0.4764,0.0706,-0.1365,0.0186,-0.11,0.0335,0.4,0.5,-0.0858,0.2,2025-09-08,2025-09-07 19:42:04
IRCON.NS,0.4761,0.07,-0.1655,0.0242,-0.1704,0.0774,0.3167,0.5,-0.1893,-0.2,2025-09-08,2025-09-07 19:42:04
BLS.NS,0.4755,-0.0508,-0.0087,-0.0174,-0.0051,0.0556,0.4167,0.0,-0.0731,0.2,2025-09-08,2025-09-07 19:42:05
TMB.NS,0.4754,0.0234,-0.0139,-0.0098,-0.0995,0.0271,0.3833,0.0,-0.0532,0.0,2025-09-08,2025-09-07 19:42:05
CHAMBLFERT.NS,0.4753,-0.1587,0.0013,0.0468,0.0313,-0.0056,0.45,1.0,0.142,0.4,2025-09-08,2025-09-07 19:42:04
OIL.NS,0.4748,0.0875,-0.1002,-0.0069,-0.1558,0.0468,0.4833,0.0,-0.1977,-0.2,2025-09-08,2025-09-07 19:42:04
SHREECEM.NS,0.4745,-0.0372,-0.0045,-0.0161,0.0185,0.0398,0.3833,0.0,0.181,-0.2,2025-09-08,2025-09-07 19:42:04
ICICIGI.NS,0.4742,0.0144,-0.0868,-0.0297,-0.0374,0.0577,0.55,0.0,-0.008,0.0,2025-09-08,2025-09-07 19:42:04
PPLPHARMA.NS,0.4736,-0.0916,0.0057,0.0629,0.0188,0.0007,0.45,0.5,-0.1882,0.6,2025-09-08,2025-09-07 19:42:04
JLHL.NS,0.4735,-0.0117,-0.0082,0.0013,-0.0929,-0.0238,0.4333,0.5,-0.0585,0.0,2025-09-08,2025-09-07 19:42:05
MANINFRA.NS,0.4732,0.0489,-0.1049,0.0252,-0.0233,0.0606,0.4,0.0,-0.1893,-0.2,2025-09-08,2025-09-07 19:42:05
JUBLFOOD.NS,0.4731,-0.0608,-0.0742,0.0402,-0.0106,0.0444,0.4667,0.5,0.0111,0.0,2025-09-08,2025-09-07 19:42:04
WELENT.NS,0.473,-0.0294,-0.0946,0.0811,-0.0406,0.0454,0.45,0.5,-0.055,0.0,2025-09-08,2025-09-07 19:42:05
VENTIVE.NS,0.4722,-0.0321,0.0365,0.017,0.013,-0.007,0.4333,0.0,0.0,0.0,2025-09-08,2025-09-07 19:42:05
WELCORP.NS,0.4713,0.0984,-0.09,-0.038,-0.0582,0.0167,0.3833,0.0,0.1241,0.0,2025-09-08,2025-09-07 19:42:04
RAILTEL.NS,0.4709,0.1285,-0.1838,-0.0056,-0.2071,0.0978,0.3667,0.0,-0.1514,0.0,2025-09-08,2025-09-07 19:42:05
BALRAMCHIN.NS,0.4708,-0.0036,-0.0676,-0.0287,-0.1031,0.0692,0.4667,0.0,-0.0315,0.0,2025-09-08,2025-09-07 19:42:05
NH.NS,0.4698,0.0309,-0.137,-0.0149,-0.0014,0.0732,0.5167,0.0,0.417,0.4,2025-09-08,2025-09-07 19:42:04
RAJESHEXPO.NS,0.4696,-0.0553,-0.1097,0.0275,-0.0757,0.0722,0.4667,0.5,-0.2337,0.2,2025-09-08,2025-09-07 19:42:05
GODREJAGRO.NS,0.469,-0.0233,-0.0151,-0.0034,-0.0091,0.018,0.4833,0.0,0.027,0.0,2025-09-08,2025-09-07 19:42:05
RELINFRA.NS,0.4687,0.098,-0.3292,0.0778,-0.162,0.1354,0.4,0.5,0.0158,0.0,2025-09-08,2025-09-07 19:42:05
MRPL.NS,0.4685,-0.043,-0.1119,0.0259,-0.0644,0.0623,0.45,0.5,-0.1784,0.4,2025-09-08,2025-09-07 19:42:04
INDGN.NS,0.4684,-0.027,-0.0215,-0.0181,-0.0572,0.0392,0.4333,0.0,-0.1643,0.4,2025-09-08,2025-09-07 19:42:05
KPRMILL.NS,0.4676,-0.0268,-0.1105,0.0441,-0.0732,0.0512,0.4333,0.5,0.0525,0.4,2025-09-08,2025-09-07 19:42:04
ONGC.NS,0.4676,0.0135,-0.0364,-0.0047,-0.0859,0.0251,0.4333,0.0,-0.0542,0.2,2025-09-08,2025-09-07 19:42:04
DIVISLAB.NS,0.4667,0.0547,-0.0858,-0.0182,-0.1278,0.0342,0.4833,0.0,0.0082,0.2,2025-09-08,2025-09-07 19:42:04
ADANIGREEN.NS,0.4658,-0.0071,-0.0625,0.0136,-0.0782,0.0471,0.5,0.0,-0.0591,0.2,2025-09-08,2025-09-07 19:42:04
SUZLON.NS,0.4642,0.0655,-0.1023,-0.0355,-0.0997,0.0347,0.4333,0.0,-0.089,0.4,2025-09-08,2025-09-07 19:42:04
SONATSOFTW.NS,0.4642,0.0921,-0.1132,-0.0017,-0.064,0.0198,0.4167,0.0,-0.4204,0.4,2025-09-08,2025-09-07 19:42:04
INDUSINDBK.NS,0.4626,0.0304,-0.0931,-0.0149,-0.0892,0.051,0.4,0.0,-0.2432,0.2,2025-09-08,2025-09-07 19:42:04
PAGEIND.NS,0.4625,-0.0133,-0.0879,0.0174,-0.0329,0.0578,0.4833,0.0,-0.0046,0.0,2025-09-08,2025-09-07 19:42:04
CONCOR.NS,0.4618,-0.0203,-0.0958,0.0228,-0.149,0.0283,0.4833,0.5,-0.3256,0.4,2025-09-08,2025-09-07 19:42:04
EPIGRAL.NS,0.4607,-0.0006,-0.0205,-0.0454,-0.0077,-0.0061,0.4167,0.0,-0.1098,0.2,2025-09-08,2025-09-07 19:42:05
SAREGAMA.NS,0.4607,-0.083,-0.0188,0.0244,-0.1135,0.013,0.4,0.5,-0.0001,0.0,2025-09-08,2025-09-07 19:42:05
IPCALAB.NS,0.4606,-0.0229,-0.0058,-0.0228,-0.0238,0.0068,0.3667,0.0,-0.1255,0.2,2025-09-08,2025-09-07 19:42:04
BDL.NS,0.4603,0.0324,-0.2063,-0.0807,-0.1914,0.1549,0.3833,0.0,0.3032,0.0,2025-09-08,2025-09-07 19:42:04
MAZDOCK.NS,0.4595,0.01,-0.1399,-0.0134,-0.1496,0.1006,0.45,0.0,0.2028,0.0,2025-09-08,2025-09-07 19:42:04
NLCINDIA.NS,0.4586,-0.0432,-0.0004,-0.0378,-0.0248,-0.0014,0.4833,0.0,-0.1154,0.2,2025-09-08,2025-09-07 19:42:04
HONAUT.NS,0.4585,0.0426,-0.0816,-0.0422,-0.0695,0.0176,0.4167,0.0,-0.1405,0.2,2025-09-08,2025-09-07 19:42:04
SJVN.NS,0.4578,-0.0119,-0.0701,0.0112,-0.062,0.0366,0.4833,0.0,-0.1719,0.0,2025-09-08,2025-09-07 19:42:04
CONCORDBIO.NS,0.457,-0.0308,-0.0661,0.0226,-0.171,0.0166,0.3833,0.5,-0.1877,0.2,2025-09-08,2025-09-07 19:42:04
JSWENERGY.NS,0.4569,-0.0125,-0.0247,-0.0472,-0.0164,-0.0079,0.4667,0.0,-0.2482,0.2,2025-09-08,2025-09-07 19:42:04
CHOLAFIN.NS,0.4567,-0.044,-0.0832,0.0202,-0.052,0.0118,0.4333,0.5,0.1672,0.2,2025-09-08,2025-09-07 19:42:04
GAIL.NS,0.456,-0.0223,-0.0632,0.0003,-0.1142,0.0496,0.4333,0.0,-0.0681,0.0,2025-09-08,2025-09-07 19:42:04
ZENTEC.NS,0.456,-0.0092,-0.2191,0.0522,-0.167,0.1163,0.4167,0.5,-0.2229,0.2,2025-09-08,2025-09-07 19:42:05
TATAELXSI.NS,0.4559,0.1224,-0.1278,-0.0368,-0.2225,0.0203,0.4,0.0,-0.1807,0.2,2025-09-08,2025-09-07 19:42:04
ITC.NS,0.4558,-0.0119,-0.0295,-0.0086,-0.0627,0.0034,0.45,0.0,-0.1153,0.4,2025-09-08,2025-09-07 19:42:04
PIIND.NS,0.4554,0.0208,-0.1146,-0.0095,-0.0765,0.0495,0.45,0.0,-0.1046,0.0,2025-09-08,2025-09-07 19:42:04
GMRP&UI.NS,0.4546,-0.1602,0.0296,-0.0514,0.0198,0.041,0.4833,0.0,-0.0408,-0.2,2025-09-08,2025-09-07 19:42:05
ACC.NS,0.4537,-0.1026,-0.0277,0.0263,-0.0195,-0.0077,0.4667,0.5,-0.1675,0.2,2025-09-08,2025-09-07 19:42:04
BHARATFORG.NS,0.4535,0.0673,-0.1098,-0.0343,-0.1369,0.0244,0.4,0.0,-0.1339,0.2,2025-09-08,2025-09-07 19:42:04
DBL.NS,0.453,0.0266,-0.09,-0.0292,-0.1203,0.0257,0.4667,0.0,0.0324,0.4,2025-09-08,2025-09-07 19:42:05
FINCABLES.NS,0.452,-0.0449,-0.0905,0.0529,-0.1677,0.0336,0.3833,0.5,-0.2499,0.0,2025-09-08,2025-09-07 19:42:04
LLOYDSME.NS,0.4517,0.0441,-0.1654,-0.0763,-0.1311,0.0762,0.4333,0.0,0.3451,0.2,2025-09-08,2025-09-07 19:42:04
NCC.NS,0.4501,-0.0305,-0.0937,-0.0512,-0.1063,0.0643,0.4333,0.0,-0.3042,0.2,2025-09-08,2025-09-07 19:42:04
GRINDWELL.NS,0.4499,-0.0631,-0.0759,0.0709,-0.1191,0.0134,0.45,0.5,-0.2419,0.0,2025-09-08,2025-09-07 19:42:04
MAXESTATES.NS,0.4492,0.0677,-0.1532,-0.0682,-0.1544,0.0497,0.4167,0.0,-0.1827,0.4,2025-09-08,2025-09-07 19:42:05
HGINFRA.NS,0.4486,-0.0766,-0.0569,0.0382,-0.0655,-0.0049,0.45,0.5,-0.2447,0.0,2025-09-08,2025-09-07 19:42:05
CROMPTON.NS,0.4484,-0.0159,-0.0768,0.0236,-0.047,-0.0345,0.4333,0.5,-0.1924,0.2,2025-09-08,2025-09-07 19:42:04
TATACOMM.NS,0.4483,-0.0108,-0.0731,-0.0851,-0.0864,0.0218,0.4667,0.0,-0.1073,-0.2,2025-09-08,2025-09-07 19:42:04
CESC.NS,0.4483,-0.0188,-0.1106,-0.0546,-0.0705,0.0526,0.4833,0.0,-0.0865,-0.2,2025-09-08,2025-09-07 19:42:04
GSPL.NS,0.4456,-0.0468,-0.0633,-0.0065,-0.1285,0.0449,0.4333,0.0,-0.1244,-0.2,2025-09-08,2025-09-07 19:42:04
TRIVENI.NS,0.4452,-0.0703,-0.0444,0.1088,-0.1437,-0.0056,0.3833,0.5,-0.0737,-0.2,2025-09-08,2025-09-07 19:42:05
JYOTHYLAB.NS,0.4444,-0.0957,0.001,0.0142,-0.0229,0.0087,0.4167,0.0,-0.1759,0.0,2025-09-08,2025-09-07 19:42:04
FEDERALBNK.NS,0.4439,-0.001,-0.0872,-0.0212,-0.1133,0.0341,0.35,0.0,-0.0994,0.2,2025-09-08,2025-09-07 19:42:04
SIGNATURE.NS,0.4437,-0.0184,-0.1149,0.0087,-0.2155,0.0169,0.4333,0.5,-0.1603,-0.2,2025-09-08,2025-09-07 19:42:04
NTPC.NS,0.443,-0.0839,-0.015,-0.0214,-0.0052,0.0026,0.45,0.0,-0.0938,0.4,2025-09-08,2025-09-07 19:42:04
BSOFT.NS,0.4424,0.0194,-0.1423,0.0179,-0.0812,-0.0156,0.4333,0.5,-0.3686,0.2,2025-09-08,2025-09-07 19:42:05
IRFC.NS,0.4419,-0.0357,-0.1157,-0.0065,-0.1528,0.0202,0.3833,0.5,-0.1729,-0.2,2025-09-08,2025-09-07 19:42:04
OBEROIRLTY.NS,0.4406,0.0118,-0.1717,0.0128,-0.1592,0.0229,0.4333,0.5,-0.174,-0.2,2025-09-08,2025-09-07 19:42:04
REDINGTON.NS,0.4397,0.0826,-0.1807,0.0036,-0.1237,0.0207,0.5167,0.0,0.229,0.4,2025-09-08,2025-09-07 19:42:05
PTCIL.NS,0.4396,-0.0671,-0.0848,-0.0108,-0.112,0.0573,0.45,0.0,0.1368,0.0,2025-09-08,2025-09-07 19:42:04
LICHSGFIN.NS,0.439,-0.0389,-0.0917,-0.0075,-0.0761,0.0388,0.4167,0.0,-0.0997,0.1,2025-09-08,2025-09-07 19:42:04
BAJAJELEC.NS,0.4386,0.1147,-0.157,0.0088,-0.1724,-0.0033,0.4167,0.0,-0.2543,0.0,2025-09-08,2025-09-07 19:42:05
SYNGENE.NS,0.4373,-0.1012,0.0042,-0.0306,-0.0159,-0.0222,0.5333,0.0,-0.2925,0.2,2025-09-08,2025-09-07 19:42:04
NAUKRI.NS,0.4365,0.0009,-0.1108,-0.0149,-0.0765,0.0174,0.4333,0.0,-0.1919,0.2,2025-09-08,2025-09-07 19:42:04
WIPRO.NS,0.4365,0.0212,-0.0721,-0.0099,-0.0518,-0.0367,0.4667,0.0,-0.1281,0.0,2025-09-08,2025-09-07 19:42:04
PERSISTENT.NS,0.4361,0.0909,-0.1504,-0.0299,-0.1269,-0.0036,0.4,0.0,-0.1267,0.0,2025-09-08,2025-09-07 19:42:04
PFC.NS,0.4356,-0.0594,-0.0523,-0.0437,-0.0374,0.0087,0.4,0.0,-0.1699,0.4,2025-09-08,2025-09-07 19:42:04
